direction,slice,function,base,test
better,coreutils::O0::cp,set_process_security_ctx,0.375,0.5
better,coreutils::O0::cp,should_dereference,0.0,0.5
better,coreutils::O0::cp,source_is_dst_backup,0.6363636363636364,0.7272727272727273
better,coreutils::O0::cp,sparse_copy,0.5833333333333334,0.625
better,coreutils::O0::cp,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::csplit,close_output_file,0.5,0.75
better,coreutils::O0::csplit,extract_regexp,0.5,0.625
better,coreutils::O0::cut,cut_fields,0.8181818181818182,0.9090909090909091
better,coreutils::O0::cut,cut_file,0.5,0.75
better,coreutils::O0::date,batch_convert,0.5,0.6
better,coreutils::O0::date,main,0.56,0.6
better,coreutils::O0::dd,main,0.8333333333333334,0.9166666666666666
better,coreutils::O0::dd,parse_symbols,0.375,0.5
better,coreutils::O0::df,filter_mount_list,0.25,0.3333333333333333
better,coreutils::O0::df,find_mount_point,0.5,0.6666666666666666
better,coreutils::O0::df,get_dev,0.5333333333333333,0.6
better,coreutils::O0::df,get_device,0.5,0.5714285714285714
better,coreutils::O0::df,get_point,0.4,0.5
better,coreutils::O0::df,hash_find_entry,0.0,0.1
better,coreutils::O0::df,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::df,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::dir,assert_matching_dev_ino,0.25,0.5
better,coreutils::O0::dir,calculate_columns,0.7777777777777778,0.8888888888888888
better,coreutils::O0::dir,extract_dirs_from_files,0.375,0.5
better,coreutils::O0::dir,file_escape,0.5,0.75
better,coreutils::O0::dir,file_failure,0.3333333333333333,0.6666666666666666
better,coreutils::O0::dir,get_color_indicator,0.5,0.6
better,coreutils::O0::dir,get_link_name,0.0,0.3333333333333333
better,coreutils::O0::dir,getfilecon_cache,0.2,0.4
better,coreutils::O0::dir,gobble_file,0.6666666666666666,0.696969696969697
better,coreutils::O0::dir,hash_find_entry,0.0,0.1
better,coreutils::O0::dir,hash_print_statistics,0.6666666666666666,0.8333333333333334
better,coreutils::O0::dir,main,0.4444444444444444,0.5555555555555556
better,coreutils::O0::dir,print_dir,0.42857142857142855,0.5714285714285714
better,coreutils::O0::dir,queue_directory,0.0,0.25
better,coreutils::O0::dir,quote_name,0.35714285714285715,0.42857142857142855
better,coreutils::O0::dir,quote_name_buf,0.8333333333333334,0.875
better,coreutils::O0::dir,signal_setup,0.25,0.5
better,coreutils::O0::dir,transfer_entries,0.0,0.1111111111111111
better,coreutils::O0::dircolors,dc_parse_stream,0.8,0.9333333333333333
better,coreutils::O0::dircolors,main,0.5714285714285714,0.6428571428571429
better,coreutils::O0::du,fill_mount_table,0.0,0.3333333333333333
