slice,function,round_e,round_f,delta
coreutils::O0::vdir,parse_ls_color,0.2222,0.3333,0.1111
coreutils::O0::vdir,print_dir,0.6429,0.7857,0.1429
coreutils::O0::vdir,print_name_with_quoting,0.5,0.625,0.125
coreutils::O0::vdir,push_current_dired_pos,0.5,1.0,0.5
coreutils::O0::wc,wc_lines,0.75,0.8333,0.0833
coreutils::O0::wc,wc_lines_avx2,0.1071,0.1429,0.0357
coreutils::O0::who,list_entries_who,0.6,0.8,0.2
coreutils::O0::who,make_id_equals_comment,0.25,0.75,0.5
coreutils::O0::who,who,0.5,0.75,0.25
coreutils::O0::whoami,main,0.8,1.0,0.2
coreutils::O0::yes,main,0.6923,0.7692,0.0769
coreutils::O2-noinline::cat,cat,0.4,0.44,0.04
coreutils::O2-noinline::chmod,main,0.5,0.6429,0.1429
coreutils::O2-noinline::cp,copy,0.3,0.4,0.1
coreutils::O2-noinline::df,get_device,0.2857,0.3571,0.0714
coreutils::O2-noinline::dir,quote_name,0.4286,0.5,0.0714
coreutils::O2-noinline::env,build_argv,0.3333,0.4444,0.1111
coreutils::O2-noinline::ginstall,copy,0.3,0.4,0.1
coreutils::O2-noinline::ginstall,copy_file,0.5,0.6667,0.1667
coreutils::O2-noinline::ls,quote_name,0.4286,0.5,0.0714
coreutils::O2-noinline::mv,copy,0.3,0.4,0.1
coreutils::O2-noinline::printf,print_direc,0.5333,0.6,0.0667
coreutils::O2-noinline::ptx,define_all_fields,0.0588,0.1765,0.1176
coreutils::O2-noinline::sort,key_warnings,0.375,0.4167,0.0417
coreutils::O2-noinline::sort,sort,0.25,0.3,0.05
coreutils::O2-noinline::stat,do_stat,0.3,0.4,0.1
coreutils::O2-noinline::stat,make_format,0.3333,0.4444,0.1111
coreutils::O2-noinline::vdir,quote_name,0.4286,0.5,0.0714
coreutils::O2::cat,main,0.4583,0.5,0.0417
coreutils::O2::chmod,main,0.3684,0.4737,0.1053
coreutils::O2::env,main,0.1081,0.1351,0.027
coreutils::O2::ginstall,install_file_in_file,0.16,0.12,-0.04
coreutils::O2::printf,main,0.4211,0.4737,0.0526
coreutils::O2::split,main,0.1111,0.0988,-0.0123
coreutils::O2::stat,do_stat,0.25,0.3125,0.0625
coreutils::O2::stat,make_format,0.3333,0.4444,0.1111
coreutils::O2::stat,print_stat,0.0556,0.0648,0.0093
coreutils::O2::tail,file_lines,0.375,0.4375,0.0625
coreutils::O2::uniq,main,0.2,0.2333,0.0333
diffutils::O0::cmp,cmp,0.5227,0.6591,0.1364
diffutils::O0::diff,add_regexp,0.6667,0.7778,0.1111
diffutils::O0::diff,analyze_hunk,0.6296,0.8519,0.2222
diffutils::O0::diff,begin_output,0.5,0.75,0.25
diffutils::O0::diff,c_escape,0.9,1.0,0.1
diffutils::O0::diff,compare_files,0.5,0.6364,0.1364
diffutils::O0::diff,compare_names_for_qsort,0.1429,0.4286,0.2857
diffutils::O0::diff,diff_dirs,0.5333,0.6,0.0667
diffutils::O0::diff,find_and_hash_each_line,0.7037,0.8148,0.1111
diffutils::O0::diff,find_function,0.7143,0.8571,0.1429
diffutils::O0::diff,parse_diff_color,0.2222,0.3333,0.1111
diffutils::O0::diff,prepare_text,0.5,0.6667,0.1667
diffutils::O0::diff,print_1_line_nl,0.5556,0.7778,0.2222
