slice,function,round_e,round_f,delta
shadow::O0::pwck,fail_exit,0.6,1.0,0.4
shadow::O0::pwck,open_files,0.6,1.0,0.4
shadow::O0::pwconv,fail_exit,0.6,1.0,0.4
shadow::O0::pwconv,main,0.4375,0.75,0.3125
shadow::O0::pwunconv,fail_exit,0.6,1.0,0.4
shadow::O0::pwunconv,main,0.4615,0.7692,0.3077
shadow::O0::su,check_perms_pam,0.5,0.875,0.375
shadow::O0::su,main,0.6111,0.9444,0.3333
shadow::O0::su,process_flags,0.5714,0.8571,0.2857
shadow::O0::su,restricted_shell,0.5,1.0,0.5
shadow::O0::su,set_environment,0.0,0.25,0.25
shadow::O0::su,su_failure,0.75,1.0,0.25
shadow::O0::sulogin,main,0.6667,0.8333,0.1667
shadow::O0::useradd,close_files,0.5,1.0,0.5
shadow::O0::useradd,close_group_files,0.5,1.0,0.5
shadow::O0::useradd,fail_exit,0.5294,1.0,0.4706
shadow::O0::useradd,faillog_reset,0.6364,0.9091,0.2727
shadow::O0::useradd,get_defaults,0.5455,0.7273,0.1818
shadow::O0::useradd,grp_add,0.25,0.5,0.25
shadow::O0::useradd,grp_update,0.375,0.6875,0.3125
shadow::O0::useradd,lastlog_reset,0.6667,0.9167,0.25
shadow::O0::useradd,process_flags,0.6,0.8,0.2
shadow::O0::useradd,set_defaults,0.6667,0.9167,0.25
shadow::O0::useradd,unlock_group_files,0.5,1.0,0.5
shadow::O0::useradd,usr_update,0.4286,0.7143,0.2857
shadow::O0::userdel,close_files,0.5,1.0,0.5
shadow::O0::userdel,fail_exit,0.5385,1.0,0.4615
shadow::O0::userdel,remove_mailbox,0.6154,1.0,0.3846
shadow::O0::userdel,remove_usergroup,0.3333,0.5,0.1667
shadow::O0::userdel,update_groups,0.4,0.5,0.1
shadow::O0::usermod,close_files,0.5,1.0,0.5
shadow::O0::usermod,fail_exit,0.5385,1.0,0.4615
shadow::O0::usermod,new_pw_passwd,0.5556,0.8889,0.3333
shadow::O0::usermod,new_pwent,0.4545,0.8182,0.3636
shadow::O0::usermod,new_spent,0.4286,0.7143,0.2857
shadow::O0::usermod,update_group,0.5385,0.7692,0.2308
shadow::O0::usermod,update_gshadow,0.5625,0.8125,0.25
shadow::O0::vipw,create_backup_file,0.5714,0.7143,0.1429
shadow::O0::vipw,vipwexit,0.8333,1.0,0.1667
shadow::O2-noinline::newgrp,main,0.0645,0.0968,0.0323
shadow::O2-noinline::useradd,get_defaults,0.0526,0.1053,0.0526
shadow::O2::useradd,get_defaults,0.0526,0.1053,0.0526
tar::O0::tar,acls_one_line,0.3913,0.4348,0.0435
tar::O0::tar,add_file_id,0.6,0.8,0.2
tar::O0::tar,add_volume_label,0.0,0.6667,0.6667
tar::O0::tar,append_incremental_renames,0.1333,0.2,0.0667
tar::O0::tar,check_label_pattern,0.6667,1.0,0.3333
tar::O0::tar,close_diag,0.0,1.0,1.0
tar::O0::tar,closeout_volume_number,0.0,1.0,1.0
tar::O0::tar,confirm,0.5714,0.7143,0.1429
tar::O0::tar,copy_name,0.3333,0.6667,0.3333
tar::O0::tar,copy_string_unquote,0.6667,1.0,0.3333
tar::O0::tar,create_archive,0.6667,0.7778,0.1111
tar::O0::tar,dec_to_env,0.5,0.75,0.25
tar::O0::tar,diff_dumpdir,0.25,0.5,0.25
tar::O0::tar,diff_file,0.25,0.5,0.25
tar::O0::tar,dump_dir,0.0,0.5,0.5
tar::O0::tar,dump_file,0.0,0.5,0.5
tar::O0::tar,dump_hard_link,0.1667,0.3333,0.1667
tar::O0::tar,enforce_one_top_level,0.5,0.75,0.25
tar::O0::tar,exclusion_tag_warning,0.3333,1.0,0.6667
tar::O0::tar,expand_pax_option,0.2647,0.2941,0.0294
tar::O0::tar,file_removed_diag,0.0,0.3333,0.3333
tar::O0::tar,find_compression_suffix,0.6,0.8,0.2
tar::O0::tar,flush_deferred_unlinks,0.375,0.5,0.125
tar::O0::tar,getarg,0.5,0.6667,0.1667
tar::O0::tar,getwidth,0.5,0.75,0.25
tar::O0::tar,gid_to_chars,0.6667,1.0,0.3333
tar::O0::tar,gid_to_gname,0.3333,0.6667,0.3333
tar::O0::tar,gname_to_gid,0.6667,1.0,0.3333
tar::O0::tar,hg_addfn,0.4286,0.7143,0.2857
tar::O0::tar,info_attach_exclist,0.2,0.3,0.1
tar::O0::tar,label_notfound,0.0,0.5,0.5
tar::O0::tar,major_to_chars,0.6667,1.0,0.3333
tar::O0::tar,make_directories,0.7778,0.8889,0.1111
tar::O0::tar,makedumpdir,0.5455,0.6364,0.0909
tar::O0::tar,maketagdumpdir,0.3333,0.6667,0.3333
tar::O0::tar,minor_to_chars,0.6667,1.0,0.3333
tar::O0::tar,mode_to_chars,0.8,1.0,0.2
tar::O0::tar,name_to_gid,0.5,1.0,0.5
tar::O0::tar,name_to_uid,0.5,1.0,0.5
tar::O0::tar,normalize_filename,0.6667,0.8333,0.1667
tar::O0::tar,normalize_filename_x,0.8,1.0,0.2
tar::O0::tar,obstack_code_rename,0.3571,0.4286,0.0714
tar::O0::tar,off_to_chars,0.6667,1.0,0.3333
tar::O0::tar,open_diag,0.0,1.0,1.0
tar::O0::tar,out_of_range_header,0.5,0.75,0.25
tar::O0::tar,pax_dump_header_1,0.7273,0.7727,0.0455
tar::O0::tar,print_for_mkdir,0.4,0.6,0.2
tar::O0::tar,quote_n_colon,0.5,1.0,0.5
tar::O0::tar,read_diag_details,0.6667,1.0,0.3333
tar::O0::tar,read_name_from_file,0.6,0.8,0.2
tar::O0::tar,read_obstack,0.5556,1.0,0.4444
tar::O0::tar,readlink_diag,0.0,1.0,1.0
tar::O0::tar,rebase_child_list,0.4286,0.7143,0.2857
tar::O0::tar,remove_any_file,0.7778,0.8889,0.1111
tar::O0::tar,repair_delayed_set_stat,0.25,0.5,0.25
tar::O0::tar,report_textual_dates,0.0,0.25,0.25
tar::O0::tar,savedir_diag,0.0,1.0,1.0
tar::O0::tar,seek_diag_details,0.5,1.0,0.5
tar::O0::tar,simple_print_header,0.4706,0.5294,0.0588
tar::O0::tar,sparse_numbytes_coder,0.2,0.4,0.2
tar::O0::tar,sparse_offset_coder,0.2,0.4,0.2
tar::O0::tar,stat_diag,0.0,1.0,1.0
tar::O0::tar,store_rename,0.2,0.3,0.1
tar::O0::tar,sys_exec_checkpoint_script,0.6667,0.8333,0.1667
tar::O0::tar,tar_help_filter,0.1923,0.2308,0.0385
tar::O0::tar,tar_list_quoting_styles,0.5,1.0,0.5
tar::O0::tar,test_archive_label,0.0,1.0,1.0
tar::O0::tar,time_to_chars,0.6667,1.0,0.3333
tar::O0::tar,to_chars,0.6667,0.7778,0.1111
tar::O0::tar,try_purge_directory,0.6923,0.8462,0.1538
tar::O0::tar,uid_to_chars,0.6667,1.0,0.3333
tar::O0::tar,uid_to_uname,0.3333,0.6667,0.3333
tar::O0::tar,uintmax_to_chars,0.6667,1.0,0.3333
tar::O0::tar,uname_to_uid,0.6667,1.0,0.3333
tar::O0::tar,unknown_file_error,0.0,1.0,1.0
tar::O0::tar,update_archive,0.4,0.6,0.2
tar::O0::tar,volume_offset_coder,0.2,0.4,0.2
tar::O0::tar,volume_size_coder,0.2,0.4,0.2
tar::O0::tar,write_directory_file,0.0,0.6667,0.6667
tar::O0::tar,write_fatal_details,0.6667,1.0,0.3333
tar::O0::tar,x_obstack_1grow,0.25,0.75,0.5
tar::O0::tar,x_obstack_blank,0.4,0.8,0.4
tar::O0::tar,x_obstack_grow,0.3333,0.6667,0.3333
tar::O0::tar,xattr_coder,0.1667,0.3333,0.1667
tar::O0::tar,xexec,0.5,1.0,0.5
tar::O0::tar,xheader_destroy,0.0,0.3333,0.3333
tar::O0::tar,xheader_format_name,0.6429,0.7143,0.0714
tar::O0::tar,xheader_ghdr_name,0.3333,0.6667,0.3333
tar::O0::tar,xheader_set_option,0.6667,1.0,0.3333
tar::O0::tar,xheader_xattr_add,0.4286,0.7143,0.2857
tar::O0::tar,xheader_xattr_copy,0.4286,0.5714,0.1429
tar::O2-noinline::tar,_single_transform_name_to_obstack,0.129,0.1613,0.0323
tar::O2-noinline::tar,dump_file,0.0,0.5,0.5
tar::O2-noinline::tar,off_to_chars,0.6667,1.0,0.3333
tar::O2-noinline::tar,time_to_chars,0.6667,1.0,0.3333
tar::O2-noinline::tar,to_chars,0.4444,0.5556,0.1111
tar::O2::tar,purge_directory,0.0714,0.1429,0.0714
tar::O2::tar,to_chars_subst,0.3478,0.3913,0.0435
