slice,function,round_f,round_g,delta
coreutils::O2-noinline::mkfifo,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::mkfifo,main,0.1818,0.2727,0.0909
coreutils::O2-noinline::mkfifo,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::mknod,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::mknod,defaultcon,0.1818,0.3636,0.1818
coreutils::O2-noinline::mknod,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::mknod,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::mktemp,count_consecutive_X_s,0.3333,0.6667,0.3333
coreutils::O2-noinline::mv,abandon_move,0.3333,0.5,0.1667
coreutils::O2-noinline::mv,computecon,0.1111,0.4444,0.3333
coreutils::O2-noinline::mv,defaultcon,0.1818,0.3636,0.1818
coreutils::O2-noinline::mv,dir_name,0.0,0.5,0.5
coreutils::O2-noinline::mv,fchmod_or_lchmod,0.75,1.0,0.25
coreutils::O2-noinline::mv,force_linkat,0.2727,0.5455,0.2727
coreutils::O2-noinline::mv,force_symlinkat,0.2222,0.4444,0.2222
coreutils::O2-noinline::mv,overwrite_ok,0.375,0.5,0.125
coreutils::O2-noinline::mv,restorecon_private,0.1333,0.2667,0.1333
coreutils::O2-noinline::mv,samedir_template,0.0,0.1,0.1
coreutils::O2-noinline::mv,set_process_security_ctx,0.25,0.375,0.125
coreutils::O2-noinline::mv,try_link,0.0,0.3333,0.3333
coreutils::O2-noinline::mv,try_symlink,0.0,0.3333,0.3333
coreutils::O2-noinline::mv,writable_destination,0.6667,1.0,0.3333
coreutils::O2-noinline::od,decode_one_format,0.1364,0.1818,0.0455
coreutils::O2-noinline::od,simple_strtoul,0.4,0.6,0.2
coreutils::O2-noinline::pathchk,component_len,0.0,0.5,0.5
coreutils::O2-noinline::pinky,long_pinky,0.3333,0.6667,0.3333
coreutils::O2-noinline::pwd,file_name_prepend,0.1,0.2,0.1
coreutils::O2-noinline::rm,diagnose_leading_hyphen,0.4,0.6,0.2
coreutils::O2-noinline::rmdir,ignorable_failure,0.5,1.0,0.5
