direction,slice,function,base,test
better,betaflight::O2::betaflight_STM32F405,cliRxRange,0.0,0.09090909090909091
better,betaflight::O2::betaflight_STM32F405,printResource,0.07692307692307693,0.15384615384615385
better,betaflight::O2::betaflight_STM32F405,printModeColor,0.058823529411764705,0.11764705882352941
better,betaflight::O2::betaflight_STM32F405,printMotorMix,0.05,0.1
better,betaflight::O2::betaflight_STM32F405,printLed,0.45454545454545453,0.5454545454545454
better,betaflight::O2::betaflight_STM32F405,cliLed,0.16666666666666666,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,printPeripheralDmaopt,0.2,0.3
better,betaflight::O2::betaflight_STM32F405,printTimerDmaopt,0.16666666666666666,0.25
better,betaflight::O2::betaflight_STM32F405,printDmaopt,0.08333333333333333,0.16666666666666666
better,betaflight::O2::betaflight_STM32F405,printFeature,0.3,0.4
better,betaflight::O2::betaflight_STM32F405,printBeeper,0.3333333333333333,0.4166666666666667
better,betaflight::O2::betaflight_STM32F405,printMap,0.3333333333333333,0.4444444444444444
better,betaflight::O2::betaflight_STM32F405,printColor,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,cliColor,0.0,0.16666666666666666
better,betaflight::O2::betaflight_STM32F405,printAux,0.07692307692307693,0.15384615384615385
better,betaflight::O2::betaflight_STM32F405,printAdjustmentRange,0.1111111111111111,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,cliAdjustmentRange,0.0,0.2222222222222222
better,betaflight::O2::betaflight_STM32F405,printRxFailsafe,0.09090909090909091,0.18181818181818182
better,betaflight::O2::betaflight_STM32F405,cliMsc,0.0,0.6666666666666666
better,betaflight::O2::betaflight_STM32F405,cliBootloader,0.0,0.6666666666666666
better,betaflight::O2::betaflight_STM32F405,cliSimplifiedTuning,0.0,0.6666666666666666
better,betaflight::O2::betaflight_STM32F405,cliFlashVerify,0.0,0.5
better,betaflight::O2::betaflight_STM32F405,printValuePointer,0.2222222222222222,0.3333333333333333
better,betaflight::O2::betaflight_STM32F405,cliPrintVar,0.0,0.25
better,betaflight::O2::betaflight_STM32F405,cliHelp,0.0,0.4
better,betaflight::O2::betaflight_STM32F405,cliPrintVarDefault,0.0,0.16666666666666666
better,betaflight::O2::betaflight_STM32F405,cliVtxInfo,0.14285714285714285,0.2857142857142857
better,betaflight::O2::betaflight_STM32F405,cliTimer,0.05263157894736842,0.10526315789473684
better,betaflight::O2::betaflight_STM32F405,cliServoMix,0.0,0.058823529411764705
