direction,slice,function,base,test
better,coreutils::O0::dir,get_link_name,0.3333333333333333,0.6666666666666666
better,coreutils::O0::dir,basename_is_dot_or_dotdot,0.0,0.5
better,coreutils::O0::dir,extract_dirs_from_files,0.5,0.625
better,coreutils::O0::dir,align_nstrftime,0.2857142857142857,0.5714285714285714
better,coreutils::O0::dir,quote_name,0.5,0.5714285714285714
better,coreutils::O0::date,batch_convert,0.6,0.8
better,coreutils::O0::join,getseq,0.5,0.75
better,coreutils::O0::join,advance_seq,0.5,0.75
better,coreutils::O0::join,system_join,0.4,0.5333333333333333
better,coreutils::O0::join,string_to_join_field,0.5,0.75
better,coreutils::O0::mktemp,mkstemp_len,0.5,0.75
better,coreutils::O0::mktemp,mkdtemp_len,0.5,0.75
better,coreutils::O0::ln,convert_abs_rel,0.0,0.3333333333333333
better,coreutils::O0::ln,relpath,0.625,0.875
better,coreutils::O0::ln,dir_name,0.0,0.5
better,coreutils::O0::mkfifo,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::mkfifo,dir_name,0.0,0.5
better,coreutils::O0::mknod,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::mknod,dir_name,0.0,0.5
better,coreutils::O0::mkdir,process_dir,0.2,0.4
better,coreutils::O0::mkdir,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::mkdir,dir_name,0.0,0.5
better,coreutils::O0::numfmt,simple_strtod_float,0.5454545454545454,0.6363636363636364
better,coreutils::O0::numfmt,simple_strtod_human,0.6666666666666666,0.7777777777777778
better,coreutils::O0::numfmt,process_suffixed_number,0.7777777777777778,0.8888888888888888
better,coreutils::O0::od,write_block,0.6666666666666666,0.75
better,coreutils::O0::ginstall,process_dir,0.2,0.4
better,coreutils::O0::ginstall,copy_file,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ginstall,change_attributes,0.5,0.75
better,coreutils::O0::ginstall,install_file_in_file,0.6666666666666666,0.8333333333333334
better,coreutils::O0::ginstall,install_file_in_file_parents,0.0,0.6666666666666666
better,coreutils::O0::ginstall,install_file_in_dir,0.36363636363636365,0.5454545454545454
better,coreutils::O0::ginstall,copy_dir,0.25,0.3
better,coreutils::O0::ginstall,set_process_security_ctx,0.5,0.625
better,coreutils::O0::ginstall,set_file_security_ctx,0.6,0.8
better,coreutils::O0::ginstall,copy_reg,0.6857142857142857,0.7142857142857143
better,coreutils::O0::ginstall,create_hard_link,0.2727272727272727,0.36363636363636365
better,coreutils::O0::ginstall,copy_internal,0.5555555555555556,0.5873015873015873
better,coreutils::O0::ginstall,remember_copied,0.4,0.6
better,coreutils::O0::ginstall,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::ginstall,dir_name,0.0,0.5
better,coreutils::O0::ptx,digest_break_file,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ptx,digest_word_file,0.2,0.4
better,coreutils::O0::realpath,realpath_canon,0.25,0.5
better,coreutils::O0::realpath,process_path,0.3333333333333333,0.6666666666666666
better,coreutils::O0::realpath,relpath,0.625,0.875
better,coreutils::O0::seq,seq_fast,0.6666666666666666,0.7222222222222222
better,coreutils::O0::ls,queue_directory,0.25,0.75
better,coreutils::O0::ls,print_dir,0.5714285714285714,0.6428571428571429
better,coreutils::O0::ls,get_link_name,0.3333333333333333,0.6666666666666666
better,coreutils::O0::ls,basename_is_dot_or_dotdot,0.0,0.5
better,coreutils::O0::ls,extract_dirs_from_files,0.5,0.625
better,coreutils::O0::ls,align_nstrftime,0.2857142857142857,0.5714285714285714
better,coreutils::O0::ls,quote_name,0.5,0.5714285714285714
better,coreutils::O0::pr,getoptnum,0.6,0.8
better,coreutils::O0::shred,dopass,0.7428571428571429,0.7714285714285715
better,coreutils::O0::shred,do_wipefd,0.7777777777777778,0.8333333333333334
better,coreutils::O0::shred,wipefile,0.16666666666666666,0.5
better,coreutils::O0::shred,dir_name,0.0,0.5
better,coreutils::O0::stdbuf,dir_name,0.0,0.5
better,coreutils::O0::shuf,read_input,0.4,0.5
better,coreutils::O0::mv,main,0.8,0.84
better,coreutils::O0::mv,copy_dir,0.25,0.3
better,coreutils::O0::mv,set_process_security_ctx,0.5,0.625
better,coreutils::O0::mv,set_file_security_ctx,0.6,0.8
better,coreutils::O0::mv,copy_reg,0.6857142857142857,0.7142857142857143
better,coreutils::O0::mv,create_hard_link,0.2727272727272727,0.36363636363636365
better,coreutils::O0::mv,copy_internal,0.5555555555555556,0.5873015873015873
better,coreutils::O0::mv,remember_copied,0.4,0.6
better,coreutils::O0::mv,computecon,0.4444444444444444,0.5555555555555556
better,coreutils::O0::mv,dir_name,0.0,0.5
better,coreutils::O0::split,closeout,0.6666666666666666,0.7777777777777778
better,coreutils::O0::stty,set_speed,0.5,0.75
better,coreutils::O0::stty,recover_mode,0.25,0.5
better,coreutils::O0::tsort,new_item,0.0,0.5
better,coreutils::O0::tr,append_char_class,0.3333333333333333,0.5
better,coreutils::O0::tr,parse_str,0.25,0.5
better,coreutils::O0::uname,print_element_env,0.0,0.5
better,coreutils::O0::sort,xfopen,0.0,0.6666666666666666
better,coreutils::O0::sort,specify_nmerge,0.625,0.75
better,coreutils::O0::sort,fillbuf,0.7058823529411765,0.7647058823529411
better,coreutils::O0::sort,write_line,0.5,0.625
better,coreutils::O0::sort,mergefps,0.46153846153846156,0.5384615384615384
better,coreutils::O0::sort,mergefiles,0.42857142857142855,0.7142857142857143
better,coreutils::O0::sort,write_unique,0.0,0.6666666666666666
better,coreutils::O0::sort,mergelines_node,0.4,0.6
better,coreutils::O0::sort,merge_loop,0.2,0.6
better,coreutils::O0::sort,sortlines,0.5333333333333333,0.6666666666666666
better,coreutils::O0::sort,merge,0.5,0.6
better,coreutils::O0::sort,sort,0.4,0.55
better,coreutils::O0::sort,parse_field_count,0.6,0.8
better,coreutils::O0::tail,dump_remainder,0.5555555555555556,0.6666666666666666
better,coreutils::O0::stat,out_mount_point,0.5555555555555556,0.6666666666666666
better,coreutils::O0::stat,do_statfs,0.5,0.75
better,coreutils::O0::stat,do_stat,0.5,0.7
better,coreutils::O0::stat,dir_name,0.0,0.5
better,coreutils::O0::touch,get_reldate,0.0,0.3333333333333333
better,coreutils::O2::basename,perform_basename,0.2222222222222222,0.3333333333333333
better,coreutils::O2::chroot,parse_additional_groups,0.3333333333333333,0.4166666666666667
better,coreutils::O0::vdir,queue_directory,0.25,0.75
better,coreutils::O0::vdir,print_dir,0.5714285714285714,0.6428571428571429
better,coreutils::O0::vdir,get_link_name,0.3333333333333333,0.6666666666666666
better,coreutils::O0::vdir,basename_is_dot_or_dotdot,0.0,0.5
better,coreutils::O0::vdir,extract_dirs_from_files,0.5,0.625
better,coreutils::O0::vdir,align_nstrftime,0.2857142857142857,0.5714285714285714
better,coreutils::O0::vdir,quote_name,0.5,0.5714285714285714
better,coreutils::O2::dircolors,append_entry,0.09090909090909091,0.2727272727272727
better,coreutils::O2::dircolors,dc_parse_stream,0.26666666666666666,0.3333333333333333
better,coreutils::O2::env,parse_block_signal_params,0.3333333333333333,0.5
better,coreutils::O2::dd,ifd_reopen,0.6,0.8
better,coreutils::O2::dd,skip,0.4,0.5
better,coreutils::O2::df,decode_output_arg,0.0,0.16666666666666666
better,coreutils::O2::fmt,fmt,0.125,0.25
better,coreutils::O2::groups,print_group_list,0.4166666666666667,0.5
better,coreutils::O2::head,head_bytes,0.16666666666666666,0.3333333333333333
better,coreutils::O2::head,head_lines,0.375,0.5
better,coreutils::O2::head,elide_tail_lines_seekable,0.29411764705882354,0.35294117647058826
better,coreutils::O2::id,print_stuff,0.0,0.07142857142857142
better,coreutils::O2::id,print_group_list,0.4166666666666667,0.5
better,coreutils::O2::join,get_line,0.05,0.1
better,coreutils::O2::join,getseq,0.25,0.5
better,coreutils::O2::dir,file_failure,0.5,0.75
better,coreutils::O2::dir,extract_dirs_from_files,0.08333333333333333,0.16666666666666666
better,coreutils::O2::dir,quote_name,0.21052631578947367,0.2631578947368421
better,coreutils::O2::cp,decode_preserve_arg,0.1111111111111111,0.2222222222222222
better,coreutils::O2::cp,emit_verbose,0.0,0.5
better,coreutils::O2::cp,create_hard_link,0.25,0.5
better,coreutils::O2::cp,overwrite_ok,0.25,0.375
better,coreutils::O2::cp,create_hole,0.2222222222222222,0.3333333333333333
better,coreutils::O2::cp,sparse_copy,0.3333333333333333,0.4166666666666667
better,coreutils::O2::cp,set_process_security_ctx,0.0,0.2222222222222222
better,coreutils::O2::cp,set_file_security_ctx,0.16666666666666666,0.3333333333333333
better,coreutils::O2::cp,remember_copied,0.2857142857142857,0.42857142857142855
better,coreutils::O2::mkdir,process_dir,0.0,0.14285714285714285
better,coreutils::O2::mkdir,make_ancestor,0.1,0.2
better,coreutils::O2::od,parse_old_offset,0.3333333333333333,0.6666666666666666
better,coreutils::O2::ls,file_failure,0.5,0.75
better,coreutils::O2::ls,extract_dirs_from_files,0.08333333333333333,0.16666666666666666
better,coreutils::O2::ls,quote_name,0.21052631578947367,0.2631578947368421
better,coreutils::O2::pr,main,0.5833333333333334,0.6666666666666666
better,coreutils::O2::pr,parse_column_count,0.0,0.16666666666666666
better,coreutils::O2::ginstall,make_ancestor,0.1111111111111111,0.2222222222222222
better,coreutils::O2::ginstall,emit_verbose,0.0,0.5
