direction,slice,function,base,test
better,coreutils::O2-noinline::ginstall,copy_file,0.5,0.6666666666666666
better,coreutils::O2-noinline::ginstall,copy,0.3,0.4
better,coreutils::O2-noinline::mv,copy,0.3,0.4
better,findutils::O0::find,partial_quotearg_n,0.6666666666666666,0.8333333333333334
better,findutils::O0::find,pred_and,0.0,0.3333333333333333
better,findutils::O0::find,pred_comma,0.0,0.3333333333333333
better,findutils::O0::find,pred_delete,0.25,0.5
better,findutils::O0::find,pred_empty,0.2857142857142857,0.42857142857142855
better,findutils::O0::find,pred_exec,0.0,0.3333333333333333
better,findutils::O0::find,pred_fprint,0.0,0.3333333333333333
better,findutils::O0::find,pred_ilname,0.0,0.3333333333333333
better,findutils::O0::find,pred_lname,0.0,0.3333333333333333
better,findutils::O0::find,match_lname,0.3333333333333333,0.5
better,findutils::O0::find,pred_negate,0.0,0.3333333333333333
better,findutils::O0::find,pred_newerXY,0.16666666666666666,0.3333333333333333
better,findutils::O0::find,pred_or,0.0,0.3333333333333333
better,findutils::O0::find,pred_print,0.0,0.3333333333333333
better,findutils::O0::find,pred_samefile,0.0,0.3333333333333333
better,findutils::O0::find,pred_xtype,0.0,0.2
better,findutils::O0::find,pred_context,0.4,0.6
better,findutils::O0::find,get_statinfo,0.0,0.6666666666666666
better,findutils::O0::find,get_info,0.25,0.5
better,findutils::O0::find,digest_mode,0.4,0.8
better,findutils::O0::find,apply_predicate,0.0,0.3333333333333333
better,findutils::O0::find,report_file_err,0.5,0.75
better,findutils::O0::find,checked_print_quoted,0.25,0.5
better,tar::O0::tar,to_chars,0.6666666666666666,0.7777777777777778
better,tar::O0::tar,create_archive,0.6666666666666666,0.7777777777777778
better,tar::O0::tar,dump_file,0.0,0.5
better,tar::O0::tar,repair_delayed_set_stat,0.25,0.5
better,tar::O0::tar,simple_print_header,0.47058823529411764,0.5294117647058824
better,tar::O0::tar,print_for_mkdir,0.4,0.6
better,tar::O0::tar,file_removed_diag,0.0,0.3333333333333333
better,tar::O0::tar,sys_exec_checkpoint_script,0.6666666666666666,0.8333333333333334
better,tar::O0::tar,confirm,0.5714285714285714,0.7142857142857143
better,tar::O2-noinline::tar,to_chars,0.4444444444444444,0.5555555555555556
better,tar::O2-noinline::tar,dump_file,0.0,0.5
better,tar::O2::tar,to_chars_subst,0.34782608695652173,0.391304347826087
worse,coreutils::O2::ginstall,install_file_in_file,0.16,0.12
